"Cloud Vendor","Cloud Vendor Account Name","CatalogId","CatalogName","Aug 2025","Total"
"Amazon Web Services","Harcourts International","a6d6s00000095ixqaq","agency studio","8642.9052367718","8642.9052367718"
"Amazon Web Services","Website Blue","a6d6s00000095ixqaq","agency studio","5080.7604233695","5080.7604233695"
"Amazon Web Services","Rentfind.com.au","a6d6s00000095i3qaa","real estate investar","63.3060185214","63.3060185214"
"Amazon Web Services","Support","it","it","0.4031983849","0.4031983849"
"Amazon Web Services","HAPPYCloud","a6d6s00000095gkqaa","pha pro","78272.5938592136","78272.5938592136"
"Amazon Web Services","WhosOnLocation","a6d6s00000095hqqaq","onlocation - people presence management","28270.0034930015","28270.0034930015"
"Amazon Web Services","Log Archive","a6d6s00000095h4qaa","managed services - lease administration","43.6239087251","43.6239087251"
"Amazon Web Services","Designly","a6d6s00000095ixqaq","agency studio","6211.4620307639","6211.4620307639"
"Amazon Web Services","testcloud","a6d6s00000095grqaa","housing enterprise","2045.2870123888","2045.2870123888"
"Amazon Web Services","LEVERTON","a6d6s00000095ghqaq","contract intelligence","672.2274590102","672.2274590102"
"Amazon Web Services","Engage Property Technology","a6d6s00000095grqaq","engage","1.3251679824","1.3251679824"
"Amazon Web Services","IPM Software","a6d6s00000095giqaq","cornerstone","480.7839380412","480.7839380412"
"Amazon Web Services","Adam Campbell","a6d6s00000095ivqaq","vaultre","103470.5001364538","103470.5001364538"
"Amazon Web Services","ripstage","a6d6s00000095ixqaq","agency studio","145.7951752527","145.7951752527"
"Amazon Web Services","BoxDiceAdmin","a6d6s00000095g5qaa","box+dice","16698.8133662421","16698.8133662421"
"Amazon Web Services","PropertySuite Vapor","a6d6s00000095hwqaa","propertysuite","268.8574669517","268.8574669517"
"Amazon Web Services","Rockend","a6d6s00000095hvqaa","property tree","1.4153704393","1.4153704393"
"Amazon Web Services","Dylan Smith","a6d6s00000095gpqaq","eagle software","4243.4659764575","4243.4659764575"
"Amazon Web Services","Insurent","a6dvx0000000q8zyae","insurent","1754.8738924041","1754.8738924041"
"Amazon Web Services","Commerce Australia","a6d6s00000095ixqaq","agency studio","620.838356391","620.838356391"
"Amazon Web Services","skasiri","a6d6s00000095ghqaa","fund modeling","330.5092115036","330.5092115036"
"Amazon Web Services","MRI Software Payer","it","it","3018.7283230941","3018.7283230941"
"Amazon Web Services","proptechbi-prod","a6dvx000000040pyaq","proptech bi","1094.715888639","1094.715888639"
"Amazon Web Services","infracloud","a6d6s00000095grqaa","housing enterprise","185.7769106415","185.7769106415"
"Amazon Web Services","PropertySuite Staging","a6d6s00000095hwqaa","propertysuite","106.0476189038","106.0476189038"
"Amazon Web Services","Rentfind Inspector (Management Account)","a6d6s00000095i3qaa","real estate investar","6858.5086462449","6858.5086462449"
"Amazon Web Services","Rudy Mui","a6d6s00000095fyqaa","apartmentdata","4469.1211591401","4469.1211591401"
"Amazon Web Services","CloudOps: Engineering","a6d6s00000095h9qaa","manhattan","50867.5959275533","50867.5959275533"
"Amazon Web Services","AWS BACKUPS","a6d6s00000095h5qaa","prolease express","28.695903969","28.695903969"
"Amazon Web Services","Orchard Cloud","a6d6s00000095grqaa","housing enterprise","9917.8517383736","9917.8517383736"
"Amazon Web Services","Admin","a6d6s00000095gdqaa","findspace","3653.7577181827","3653.7577181827"
"Amazon Web Services","mri-rent-prod","a6d6s00000095hlqaq","mri inspect","13925.7520637784","13925.7520637784"
"Amazon Web Services","mri-apac-dev","it","it","79.2544745318","79.2544745318"
"Amazon Web Services","findspace-testing","a6d6s00000095gdqaa","findspace","6.6893215255","6.6893215255"
"Amazon Web Services","AWS OPS","a6d6s00000095h5qaa","prolease express","720.3243419875","720.3243419875"
"Amazon Web Services","tony iott","a6d6s00000095giqaq","cornerstone","865.6498214564","865.6498214564"
"Amazon Web Services","WhosOnLocation-Dev","a6d6s00000095hqqaq","onlocation - people presence management","0.403316901","0.403316901"
"Amazon Web Services","Cloud Services: Security","a6d6s00000095h9qaa","manhattan","74.8058231756","74.8058231756"
"Amazon Web Services","CloudOps: Non-Prod","a6d6s00000095h9qaa","manhattan","52687.736011542","52687.736011542"
"Amazon Web Services","aus-asweb-prod","a6d6s00000095ixqaq","agency studio","0.6238570688","0.6238570688"
"Amazon Web Services","springboard-web","a6d6s00000095hpqaq","onlocation - footfall analytics","470.2207534887","470.2207534887"
"Amazon Web Services","mri-emea-dev","it","it","176.6679729703","176.6679729703"
"Amazon Web Services","MacMunnis.Route53","a6d6s00000095h4qaa","managed services - lease administration","0.72301743","0.72301743"
"Amazon Web Services","AWS ADMIN","a6d6s00000095h5qaa","prolease express","0.4048701479","0.4048701479"
"Amazon Web Services","AWS WWW","a6d6s00000095h5qaa","prolease express","0.4033010002","0.4033010002"
"Amazon Web Services","le-sandbox","a6d6s00000095h5qaa","prolease express","55.520744913","55.520744913"
"Amazon Web Services","global-springboard-devtest","a6d6s00000095hpqaq","onlocation - footfall analytics","0.4031489723","0.4031489723"
"Amazon Web Services","MacMunnis","a6d6s00000095h4qaa","managed services - lease administration","7312.4994774981","7312.4994774981"
"Amazon Web Services","HAPPY Software","a6d6s00000095gkqaa","pha pro","823.4315275937","823.4315275937"
"Amazon Web Services","PropertySuite Web Production","a6d6s00000095hwqaa","propertysuite","1492.7450094998","1492.7450094998"
"Amazon Web Services","le-research","a6d6s00000095h5qaa","prolease express","1.0059779535","1.0059779535"
"Amazon Web Services","PropertySuite Production","a6d6s00000095hwqaa","propertysuite","94.2580602721","94.2580602721"
"Amazon Web Services","Development Team","a6d6s00000095ixqaq","agency studio","1934.2672230907","1934.2672230907"
"Amazon Web Services","UrbanX","a6d6s00000095ixqaq","agency studio","84.4840244583","84.4840244583"
"Amazon Web Services","AWS DEV","a6d6s00000095h5qaa","prolease express","2115.6800302481","2115.6800302481"
"Amazon Web Services","HAPPYSoftware","a6d6s00000095gkqaa","pha pro","10022.3557174734","10022.3557174734"
"Amazon Web Services","egent","a6d6s00000095gjqaq","ctm","4820.8709880928","4820.8709880928"
"Amazon Web Services","mri-emea-prod","it","it","4413.6372657389","4413.6372657389"
"Amazon Web Services","AWS PRODUCTION","a6d6s00000095h5qaa","prolease express","7081.6032368393","7081.6032368393"
"Amazon Web Services","Data Bunker","a6d6s00000095g5qaa","box+dice","98.3830103165","98.3830103165"
"Amazon Web Services","Trey Lindsey","a6d6s00000095h6qaa","lindsey software","47.1149981104","47.1149981104"
"Amazon Web Services","Eagle Software Pty Ltd Developer","a6d6s00000095gpqaq","eagle software","194.4049337334","194.4049337334"
"Amazon Web Services","CTMSoftware","a6d6s00000095gjqaq","ctm","343.5291246135","343.5291246135"
"Amazon Web Services","mri-apac-prod","it","it","4594.2531462629","4594.2531462629"
"Amazon Web Services","Cloud Services: Prod","a6d6s00000095h9qaa","manhattan","93381.7638279019","93381.7638279019"
"Amazon Web Services","PropertySuite Web Dev","a6d6s00000095hwqaa","propertysuite","0.4034271307","0.4034271307"
"Amazon Web Services","PropTech Group","a6dvx000000040pyaq","proptech bi","1.0784201642","1.0784201642"
"Amazon Web Services","PropertySuite","a6d6s00000095hwqaa","propertysuite","28036.6264077166","28036.6264077166"
"Amazon Web Services","Audit","it","it","40.4979911301","40.4979911301"
"Amazon Web Services","MRI Software, LLC","it","it","6166.9514001762","6166.9514001762"
"Amazon Web Services","Mr Steven D Booth","a6d6s00000095hpqaq","onlocation - footfall analytics","16501.3835949384","16501.3835949384"
"Amazon Web Services","mri-rent-dev","a6d6s00000095hlqaq","mri inspect","249.8898185095","249.8898185095"
"Amazon Web Services","mri-software-payer","it","it","0.4117823403","0.4117823403"
"Amazon Web Services","Robert Ludrosky","it","it","0.4022213927","0.4022213927"
